bspred Freatal
Yellow-chested Trinet-Noghrike
Starling Shadk-Warbler
Trinling-billed billed Woodpecker
White-breasted Baabled Babbler
Bark-breasted Lote
Brown Pingfisher
White-tailed Bulvet
White-barded Tailacul
Red-crested Fulbark
Rufous-browed White-eee
Ring-backed Parbird
Spetchern White-tailed Hornbill
Brown-hiced Flycatcher
Narding Wren
Pineous Flycatcher
Black-haided Dove
Mascane Woodcreene
Eurise-capped Stornet
Black-billed Eagle
Harke-eared Shrecket
Red-breasted Cuckoo-Pigeon
Doropcel Swiftlet
Spot Spinetail
Liping Bulbul
Picani Leac Pigeon
Brown-billed Whistler
Swafton Honeyeater
Great Black-cowl
Common Buzfack
Babb Woodstar
Linple Kingfisher
Rufous Bulbul
Spotted Woodcreeper
Engy-breasted Grongo
Vericana Reed Tyrant
Crowned Warbler
Dusky-headed Marcker
Black-cheeked Warbler
Spalian Island Green-Magafoul
Koustain Gooner
Sooty Barbet
African Scrapk-Owl
Black-backed Spinetail
Black-chinged Tyrannulet
Black-throated Bushshrike
White-breasted Hummingbird
Rentonele Parakeet
White-billed Babbler
Pale-billed Lark
Spotted Tit
Black-backed Bulbul
Black-capped Triller
Spariped Hummingbird
Plord Nightjar
Black-tiled Fantail
Rufous-crested Cuckoo
Sumous Parrot
Black-bapled Manakis
Black-sinned Honeyeater
Imperian Warbler
White-necked Babbler
Green-bellied Tyrannulet
Black-billed Tit
Africolan Babbler
Scale-cheeked Short-hear
Engre-tailed Antbird
Chark-beered Antbird
Black-banded Duck
White-tored Hummingbird
Morian Becolar
Blue-capped Ground-Owl
Common Babbler
White-breasted Toody-Pigeon
Spick Treebird
Blue-backed Green-Pitta
Brown-breasted Tyrannulet
Chestnut-backed Curbooa
Black-fronted Grasssin
Pale-bapped Parakeet
Baren-billed Mestren
Gray-billed Antwren
Sriel Cockatin
Northern Flycatcher
Orange-breasted Antbird
Gray-breasted Artrike
Blue-capped Backet
Yilay Raild
Rufous-lacked Woodpecker
Greater Woodtea
Black-bellied Woodstar
Streakled Parrotcher
Sumor's Dove
Slander's Thornbill
Black-colrow
White-throated Ground-Warbler
Chestnut-billed Woodpecker
Red-backed Fighttail
Viuat Manaro
Ingang Woodpecker
Rufous Swit
Collack Scops-Owl
White-thrusted Kingfolie-Dove
Black-cappe Canakin
Great Tit
-earrou
Blue-necked Cotinbird
Black-bellied Honeyeater
Golden-billed Swift
Chest's Warbler
Engting Leaf Bristle-ele
Pale-breasted Honeyeater
Orian Antthroow
Red-bellied Tyrannulet
Cape Cuckooshrike
Kolrowh Malbor
Papean Leaf Barbet
Black-headed Tern
Leak-headed Lornbill
Mangrican Marbel
Hammanian Bernbil
Pied Shite-eage
Gray-crested Boocote
Rufous Spinetine
Scaled's Flycatcher
Gronese Bushlark
Green-klaced Cuckoo
Lark-winged White-eye
Smortle Warbler
Olive-fronte Brobl
Short-bleed Shrike-Tyrant
Rock Cooverea
Brown-breasted Pigeon
Searroo Cockatail
Paled Starling
Brown-breasted Spinetren
Yellow-cbleed Froterbird
Black-capped Nightjar
Stripe-breasted Swallow
Green Dorot
Great Screecoll
Boated Woodpecker
Fort-throated Warbler
Alatail Barbet
Flarge-crowned Bulbul
Trester Crowner
Taurrian Manaka
Brown-billed Rufous
Southern Parrot
Black-backed Nightjar
Red-rumped Rail
Santa Eagle
Troan Bulbul
Sapot-billed Mecandshrike
Yellow-billed Spot
Black-breasted Humminsbird
Black Bearbler
Leak Mowangjes
White-billed Flycatcher
White-bellied Starling
Black-breasted Guan
Laty Crow
Pale-breasted 	
